,Favorites,Followers,Friends,Value
137,2122,891278,46668,Sat Apr 08 22:18:41 +0000 2017
138,2122,891408,46667,Sun Apr 09 12:33:32 +0000 2017
139,2122,891416,46667,Sun Apr 09 13:08:07 +0000 2017
140,2122,891452,46666,Sun Apr 09 15:20:00 +0000 2017
141,2122,891462,46666,Sun Apr 09 15:44:40 +0000 2017
142,2122,891482,46666,Sun Apr 09 17:00:16 +0000 2017
143,2122,891535,46666,Sun Apr 09 18:42:36 +0000 2017
144,2122,891536,46665,Sun Apr 09 19:34:09 +0000 2017
145,2122,891560,46665,Sun Apr 09 21:27:55 +0000 2017
146,2122,891571,46665,Sun Apr 09 22:25:48 +0000 2017
147,2121,911402,46654,Fri Apr 14 05:54:16 +0000 2017
148,2122,911767,46654,Fri Apr 14 17:48:30 +0000 2017
149,2122,912515,46650,Sun Apr 16 03:59:59 +0000 2017
150,2122,912555,46650,Sun Apr 16 07:41:43 +0000 2017
151,2122,912761,46649,Sun Apr 16 19:42:43 +0000 2017
152,2122,912846,46648,Sun Apr 16 23:06:14 +0000 2017
153,2125,913158,46648,Mon Apr 17 19:36:58 +0000 2017
154,2124,913309,46649,Tue Apr 18 07:23:43 +0000 2017
155,2125,913509,46650,Wed Apr 19 04:22:42 +0000 2017
156,2125,913555,46649,Wed Apr 19 13:37:23 +0000 2017
157,2126,913634,46645,Wed Apr 19 20:56:57 +0000 2017
158,2126,913691,46645,Thu Apr 20 06:28:24 +0000 2017
159,2126,913734,46645,Thu Apr 20 13:31:25 +0000 2017
160,2127,913760,46645,Thu Apr 20 14:36:42 +0000 2017
161,2127,913768,46645,Thu Apr 20 14:53:12 +0000 2017
162,2127,913821,46644,Thu Apr 20 20:41:59 +0000 2017
163,2127,913821,46644,Thu Apr 20 20:43:24 +0000 2017
164,2129,914203,46642,Fri Apr 21 16:59:55 +0000 2017
165,2129,914210,46642,Fri Apr 21 17:31:00 +0000 2017
166,2129,914219,46642,Fri Apr 21 18:27:41 +0000 2017
167,2129,914220,46642,Fri Apr 21 18:29:41 +0000 2017
168,2129,914220,46642,Fri Apr 21 18:42:44 +0000 2017
169,2129,914268,46642,Sat Apr 22 02:41:04 +0000 2017
170,2129,914323,46642,Sat Apr 22 12:08:13 +0000 2017
171,2129,914376,46641,Sat Apr 22 15:32:10 +0000 2017
172,2129,914379,46641,Sat Apr 22 15:48:25 +0000 2017
173,2129,914492,46637,Sun Apr 23 06:16:02 +0000 2017
174,2129,914533,46636,Sun Apr 23 14:12:25 +0000 2017
175,2129,914584,46634,Sun Apr 23 20:00:39 +0000 2017
176,2129,914606,46636,Sun Apr 23 22:58:26 +0000 2017
177,2129,914663,46636,Mon Apr 24 03:58:29 +0000 2017
178,2129,914666,46636,Mon Apr 24 04:08:49 +0000 2017
179,2129,914679,46636,Mon Apr 24 06:05:03 +0000 2017
180,2129,914680,46636,Mon Apr 24 07:32:02 +0000 2017
181,2129,914693,46636,Mon Apr 24 10:30:33 +0000 2017
182,2129,914699,46636,Mon Apr 24 11:33:25 +0000 2017
183,2130,914886,46633,Tue Apr 25 12:22:10 +0000 2017
184,2130,914899,46632,Tue Apr 25 14:16:50 +0000 2017
185,2132,915018,46625,Wed Apr 26 06:56:20 +0000 2017
186,2132,915012,46625,Wed Apr 26 08:22:35 +0000 2017
187,2132,915023,46625,Wed Apr 26 11:13:41 +0000 2017
188,2132,915025,46625,Wed Apr 26 11:46:26 +0000 2017
